Program,Year,Enrollees,Dropout
BSME - AUTOMOTIVE,2013-2014,197,0
BSME - AUTOMOTIVE,2014-2015,220,0
BSME - AUTOMOTIVE,2015-2016,246,0
BSME - AUTOMOTIVE,2016-2017,0,0
BSME - AUTOMOTIVE,2017-2018,0,0
BSME - AUTOMOTIVE,2018-2019,0,0
BSME - AUTOMOTIVE,2019-2020,0,0
BSME - AUTOMOTIVE,2020-2021,0,0
BSME - AUTOMOTIVE,2021-2022,0,0
BSME - AUTOMOTIVE,2022-2023,0,0
BSME - AUTOMOTIVE,2023-2024,0,0
BSME - WELDING,2012-2013,65,0
BSME - WELDING,2013-2014,30,0
BSME - WELDING,2014-2015,0,0
BSME - WELDING,2015-2016,0,0
BSME - WELDING,2016-2017,0,0
BSME - WELDING,2017-2018,0,0
BSME - WELDING,2018-2019,0,0
BSME - WELDING,2019-2020,0,0
BSME - WELDING,2020-2021,0,0
BSME - WELDING,2021-2022,0,0
BSME - WELDING,2022-2023,0,0
BSME - WELDING,2023-2024,0,0
Bachelor of Arts in Communication (BAC),2012-2013,240,0
Bachelor of Arts in Communication (BAC),2013-2014,374,0
Bachelor of Arts in Communication (BAC),2014-2015,490,0
Bachelor of Arts in Communication (BAC),2015-2016,533,0
Bachelor of Arts in Communication (BAC),2016-2017,447,0
Bachelor of Arts in Communication (BAC),2017-2018,284,0
Bachelor of Arts in Communication (BAC),2018-2019,288,15
Bachelor of Arts in Communication (BAC),2019-2020,397,36
Bachelor of Arts in Communication (BAC),2020-2021,586,31
Bachelor of Arts in Communication (BAC),2021-2022,588,24
Bachelor of Arts in Communication (BAC),2022-2023,574,19
Bachelor of Arts in Communication (BAC),2023-2024,0,0
Bachelor of Elementary Education,2012-2013,278,0
Bachelor of Elementary Education,2013-2014,270,0
Bachelor of Elementary Education,2014-2015,399,0
Bachelor of Elementary Education,2015-2016,492,0
Bachelor of Elementary Education,2016-2017,470,0
Bachelor of Elementary Education,2017-2018,410,0
Bachelor of Elementary Education,2018-2019,415,8
Bachelor of Elementary Education,2019-2020,416,10
Bachelor of Elementary Education,2020-2021,488,17
Bachelor of Elementary Education,2021-2022,500,9
Bachelor of Elementary Education,2022-2023,434,3
Bachelor of Elementary Education,2023-2024,0,0
Bachelor of Secondary Education English,2012-2013,353,0
Bachelor of Secondary Education English,2013-2014,350,0
Bachelor of Secondary Education English,2014-2015,330,0
Bachelor of Secondary Education English,2015-2016,280,0
Bachelor of Secondary Education English,2016-2017,142,0
Bachelor of Secondary Education English,2017-2018,105,0
Bachelor of Secondary Education English,2018-2019,131,9
Bachelor of Secondary Education English,2019-2020,144,10
Bachelor of Secondary Education English,2020-2021,330,12
Bachelor of Secondary Education English,2021-2022,421,20
Bachelor of Secondary Education English,2022-2023,368,5
Bachelor of Secondary Education English,2023-2024,0,0
Bachelor of Secondary Education Biology,2012-2013,89,0
Bachelor of Secondary Education Biology,2013-2014,127,0
Bachelor of Secondary Education Biology,2014-2015,132,0
Bachelor of Secondary Education Biology,2015-2016,169,0
Bachelor of Secondary Education Biology,2016-2017,148,0
Bachelor of Secondary Education Biology,2017-2018,117,0
Bachelor of Secondary Education Biology,2018-2019,105,0
Bachelor of Secondary Education Biology,2019-2020,3,0
Bachelor of Secondary Education Biology,2020-2021,2,0
Bachelor of Secondary Education Biology,2021-2022,0,0
Bachelor of Secondary Education Biology,2022-2023,0,0
Bachelor of Secondary Education Biology,2023-2024,0,0
Bachelor of Secondary Education Mathematics,2012-2013,120,0
Bachelor of Secondary Education Mathematics,2013-2014,107,0
Bachelor of Secondary Education Mathematics,2014-2015,140,0
Bachelor of Secondary Education Mathematics,2015-2016,182,0
Bachelor of Secondary Education Mathematics,2016-2017,84,0
Bachelor of Secondary Education Mathematics,2017-2018,58,0
Bachelor of Secondary Education Mathematics,2018-2019,83,4
Bachelor of Secondary Education Mathematics,2019-2020,56,5
